Descrição dos alimentos;Energia..kcal.;Proteína..g.;Carboidrato..g.;Lipídeos..g.;Fibra.Alimentar..g.
Ovo, de galinha, gema, cozida/10minutos;353;15.9;1.6;30.8;NA
Ovo, de galinha, inteiro, cozido/10minutos;146;13.3;0.6;9.5;NA
Ovo, de galinha, inteiro, cru;143;13;1.6;8.9;NA
Ovo, de galinha, inteiro, frito;240;15.6;1.2;18.6;NA
Achocolatado, pó;401;4.2;91.2;2.2;3.9
Açúcar, cristal;387;0.3;99.6;1E-05;NA
Açúcar, mascavo;369;0.8;94.5;0.1;NA
Açúcar, refinado;387;0.3;99.5;1E-05;NA
Chocolate, ao leite;540;7.2;59.6;30.3;2.2
Chocolate, ao leite, com castanha do Pará;559;7.4;55.4;34.2;2.5
Chocolate, ao leite, dietético;557;6.9;56.3;33.8;2.8
Chocolate, meio amargo;475;4.9;62.4;29.9;4.9
Cocada branca;449;1.1;81.4;13.6;3.6
Doce, de abóbora, cremoso;199;0.9;54.6;0.2;2.3
Doce, de leite, cremoso;306;5.5;59.5;6;NA
Geléia, mocotó, natural;106;2.1;24.2;0.1;NA
Glicose de milho;292;0;79.4;0;NA
Maria mole;301;3.8;73.6;0.2;0.7
Maria mole, coco queimado;307;3.9;75.1;0.1;0.6
Marmelada;257;0.4;70.8;0.1;4.1
Mel, de abelha;309;0;84;0;NA
Melado;297;0;76.6;0;NA
Quindim;411;4.7;46.3;24.4;3.2
Rapadura;352;1;90.8;0.1;NA
Café, pó, torrado;419;14.7;65.8;11.9;51.2
Capuccino, pó;417;11.3;73.6;8.6;2.4
Fermento em pó, químico;90;0.5;43.9;0.1;NA
Fermento, biológico, levedura, tablete;90;17;7.7;1.5;4.2
Gelatina, sabores variados, pó;380;8.9;89.2;1E-05;NA
Sal, dietético;NA;NA;NA;NA;NA
Sal, grosso;NA;NA;NA;NA;NA
Shoyu;61;3.3;11.6;0.3;NA
Tempero a base de sal;21;2.7;2.1;0.3;0.6
Azeitona, preta, conserva;194;1.2;5.5;20.3;4.6
Azeitona, verde, conserva;137;0.9;4.1;14.2;3.8
Chantilly, spray, com gordura vegetal;315;0.5;16.9;27.3;NA
Leite, de coco;166;1;2.2;18.4;0.7
Maionese, tradicional com ovos;302;0.6;7.9;30.5;NA
Acarajé;289;8.3;19.1;19.9;9.4
Arroz carreteiro;154;10.8;11.6;7.1;1.5
Baião de dois, arroz e feijão-de-corda;136;6.2;20.4;3.2;5.1
Barreado;165;18.3;0.2;9.5;0.1
Bife à cavalo, com contra filé;291;23.7;0;21.1;NA
Bolinho de arroz;274;8;41.7;8.3;2.7
Camarão à baiana;101;7.9;3.2;6;0.4
Charuto, de repolho;78;6.8;10.1;1.1;1.5
Cuscuz, de milho, cozido com sal;113;2.2;25.3;0.7;2.1
Cuscuz, paulista;142;2.6;22.5;4.6;2.4
Cuxá, molho;80;5.6;5.7;3.6;3
Dobradinha;125;19.8;0;4.4;NA
Estrogonofe de carne;173;15;3;10.8;NA
Estrogonofe de frango;157;17.6;2.6;8;NA
Feijão tropeiro mineiro;152;10.2;19.6;6.8;3.6
Feijoada;117;8.7;11.6;6.5;5.1
Frango, com açafrão;113;9.7;4.1;6.2;0.2
Macarrão, molho bolognesa;120;4.9;22.5;0.9;0.8
Maniçoba;134;10;3.4;8.7;2.2
Quibebe;86;8.6;6.6;2.7;1.7
Salada, de legumes, com maionese;96;1.1;8.9;7;2.2
Salada, de legumes, cozida no vapor;35;2;7.1;0.3;2.5
Salpicão, de frango;148;13.9;4.6;7.8;0.4
Sarapatel;123;18.5;1.1;4.4;NA
Tabule;57;2;10.6;1.2;2.1
Tacacá;47;7;3.4;0.4;0.2
Tapioca, com manteiga;348;0.1;63.6;10.9;1E-05
Tucupi, com pimenta-de-cheiro;27;2.1;4.7;0.3;0.2
Vaca atolada;145;5.1;10.1;9.3;2.3
Vatapá;255;6;9.7;23.2;1.7
Virado à paulista;307;10.2;14.1;25.6;2.2
Yakisoba;113;7.5;18.3;2.6;1.1
Amendoim, grão, cru;544;27.2;20.3;43.9;8
Amendoim, torrado, salgado;606;22.5;18.7;54;7.8
Ervilha, em vagem;88;7.5;14.2;0.5;9.7
Ervilha, enlatada, drenada;74;4.6;13.4;0.4;5.1
Feijão, carioca, cozido;76;4.8;13.6;0.5;8.5
Feijão, carioca, cru;329;20;61.2;1.3;18.4
Feijão, fradinho, cozido;78;5.1;13.5;0.6;7.5
Feijão, fradinho, cru;339;20.2;61.2;2.4;23.6
Feijão, jalo, cozido;93;6.1;16.5;0.5;13.9
Feijão, jalo, cru;328;20.1;61.5;0.9;30.3
Feijão, preto, cozido;77;4.5;14;0.5;8.4
Feijão, preto, cru;324;21.3;58.8;1.2;21.8
Feijão, rajado, cozido;85;5.5;15.3;0.4;9.3
Feijão, rajado, cru;326;17.3;62.9;1.2;24
Feijão, rosinha, cozido;68;4.5;11.8;0.5;4.8
Feijão, rosinha, cru;337;20.9;62.2;1.3;20.6
Feijão, roxo, cozido;77;5.7;12.9;0.5;11.5
Feijão, roxo, cru;331;22.2;60;1.2;33.8
Grão-de-bico, cru;355;21.2;57.9;5.4;12.4
Guandu, cru;344;19;64;2.1;21.3
Lentilha, cozida;93;6.3;16.3;0.5;7.9
Lentilha, crua;339;23.2;62;0.8;16.9
Paçoca, amendoim;487;16;52.4;26.1;7.3
Pé-de-moleque, amendoim;503;13.2;54.7;28;3.4
Soja, farinha;404;36;38.4;14.6;20.2
Soja, extrato solúvel, natural, fluido;39;2.4;4.3;1.6;0.4
Soja, extrato solúvel, pó;459;35.7;28.5;26.2;7.3
Soja, queijo (tofu);64;6.6;2.1;4;0.8
Tremoço, cru;381;33.6;43.8;10.3;32.3
Tremoço, em conserva;121;11.1;12.4;3.8;14.4
Amêndoa, torrada, salgada;581;18.6;29.5;47.3;11.6
Castanha-de-caju, torrada, salgada;570;18.5;29.1;46.3;3.7
Castanha-do-Brasil, crua;643;14.5;15.1;63.5;7.9
Coco, cru;406;3.7;10.4;42;5.4
Coco,  verde, cru;NA;NA;NA;NA;NA
Farinha, de mesocarpo de babaçu, crua;329;1.4;79.2;0.2;17.9
Gergelim, semente;584;21.2;21.6;50.4;11.9
Linhaça, semente;495;14.1;43.3;32.3;33.5
Pinhão, cozido;174;3;43.9;0.7;15.6
Pupunha, cozida;219;2.5;29.6;12.8;4.3
Noz, crua;620;14;18.4;59.4;7.2
